Emotion,Head Yaw,Head Roll,Head Pitch,Right Shoulder Roll,Right Shoulder Pitch,Right Elbow Yaw,Right Elbow Roll,Right Wrist Yaw,Right Hand,Left Shoulder Roll,Left Shoulder Pitch,Left Elbow Yaw,Left Elbow Roll,Left Wrist Yaw,Left Hand,Waist Roll,Waist Pitch,Right Hip Roll,Right Hip Pitch,Right Knee Yaw,Right Knee Roll,Left Hip Roll,Left Hip Pitch,Left Knee Yaw,Left Knee Roll,Emotion Code 6,Emotion Code 5,Emotion Code 4,Emotion Code 3,Emotion Code 2,Emotion Code 1
Happy,0.0,0.0,0.228335401,-0.196888891,1.528269435,2.005931032,1.463810388,0.525386197,2,0.602915526,1.290286274,-1.844496038,-1.321925054,2.033252319,2,-0.051127995,0.132784014,1.206803595,0.118703409,-0.055236954,-0.247593763,-1.438330626,-1.765427201,0.073297125,0.300639031,0,0,0,0,0,1
Happy,0.0,0.0,0.205013689,-0.192094203,1.52833095,2.011329537,1.473302499,0.590360212,3,0.60080262,1.286532849,-1.834267391,-1.315241488,1.694208855,2,-0.053949086,0.130806561,1.202599207,0.11858244,-0.048927823,-0.246790005,-1.441475394,-1.775647883,0.081445642,0.302949337,0,0,0,0,0,1
Happy,0.0,0.0,0.185047754,-0.193345759,1.527485706,2.013946403,1.472466484,0.430297182,2,0.600492484,1.278818382,-1.828699467,-1.309356505,3.011605673,2,-0.052645067,0.127799113,1.201019685,0.130746676,-0.050263058,-0.246402936,-1.440726107,-1.782105907,0.079564883,0.299111028,0,0,0,0,0,1
Happy,0.0,0.0,0.178272757,-0.192256184,1.535045836,2.012974124,1.475899264,0.692880907,3,0.600830729,1.275891247,-1.826428066,-1.306404325,1.647267628,2,-0.05107473,0.124985615,1.199932021,0.140522633,-0.0501951,-0.247448195,-1.441221586,-1.773546113,0.078488247,0.297378179,0,0,0,0,0,1
Happy,0.0,0.0,0.221388142,-0.202526061,1.541635322,2.012972448,1.470921928,0.560696717,2,0.579998197,1.300513201,-1.838494629,-1.329332509,1.88252974,2,-0.057534115,0.133995251,1.197256754,0.109592292,-0.042788578,-0.247849756,-1.438030645,-1.774208885,0.087611083,0.294693061,0,0,0,0,0,1
Happy,0.0,0.0,0.230236358,-0.20571322,1.541488474,2.012038027,1.469443045,0.664366278,2,0.575163959,1.304754617,-1.841155806,-1.333888139,1.571258336,2,-0.059224101,0.13673,1.196817802,0.103755148,-0.041658922,-0.248644283,-1.436632051,-1.788768233,0.089370213,0.293231401,0,0,0,0,0,1
Happy,0.0,0.0,0.228411089,-0.206583502,1.539123537,2.013168281,1.468603173,0.472241166,2,0.590073869,1.295404092,-1.837396155,-1.296067826,1.724296471,3,-0.061010279,0.138090093,1.196471657,0.104096866,-0.044085928,-0.250576393,-1.437517236,-1.779223393,0.086472477,0.294056814,0,0,0,0,0,1
Happy,0.0,0.0,0.231167095,-0.205273093,1.535857545,2.010575352,1.468670356,-1.085015632,3,0.596566206,1.294357016,-1.837408772,-1.287784005,3.016406039,3,-0.061310415,0.138788425,1.19584067,0.112406066,-0.044607397,-0.253937912,-1.438076173,-1.765330236,0.086265988,0.294870474,0,0,0,0,0,1
Happy,0.0,0.0,0.229236681,-0.208487734,1.536031826,2.004451775,1.469248216,-2.599163505,3,0.598552294,1.287545212,-1.835347953,-1.278096652,1.48192207,3,-0.061293521,0.13952105,1.195612,0.126612621,-0.046279461,-0.257310625,-1.439899351,-1.718282162,0.084340762,0.298144651,0,0,0,0,0,1
Happy,0.0,0.0,0.228826726,-0.212243974,1.535098656,2.010338667,1.466442035,-2.573874177,2,0.603681288,1.278956103,-1.82919522,-1.262054511,1.691918214,2,-0.061737795,0.140231901,1.192920916,0.134619928,-0.04859816,-0.259734154,-1.442809176,-1.6980895,0.081428152,0.30114456,0,0,0,0,0,1
Happy,0.0,0.0,0.22811396,-0.21531576,1.532457545,2.021337413,1.465040717,2.09548451,3,0.599406622,1.281568615,-1.833462576,-1.267205897,1.124732226,2,-0.062086814,0.140819626,1.191119257,0.136199836,-0.049063553,-0.260485733,-1.444960101,-1.700452145,0.080241142,0.302766674,0,0,0,0,0,1
Happy,0.0,0.0,0.221948307,-0.219354269,1.539023339,2.016646679,1.474593621,2.113408617,3,0.598270296,1.281510275,-1.837663873,-1.265686827,1.656231177,2,-0.061911481,0.139495205,1.188204644,0.145922578,-0.048757055,-0.26199606,-1.448945811,-1.6949116,0.080437875,0.305925285,0,0,0,0,0,1
Happy,0.0,0.0,0.224187593,-0.219142204,1.539204625,2.015817966,1.475819579,-2.473343473,2,0.591035146,1.294581934,-1.84923617,-1.280254996,1.2120409,2,-0.061871206,0.140881613,1.18696768,0.15059554,-0.051158888,-0.262584106,-1.448684618,-1.702810201,0.07838075,0.304548153,0,0,0,0,0,1
Happy,0.0,0.0,0.223988696,-0.219119026,1.536930825,2.017171461,1.475411824,-2.877855812,2,0.591271256,1.293295251,-1.84845718,-1.279536414,1.390400939,3,-0.062297746,0.140600763,1.186320441,0.152488238,-0.051269249,-0.262522697,-1.449900802,-1.697647687,0.078242962,0.304921993,0,0,0,0,0,1
Happy,0.0,0.0,0.224067662,-0.217386405,1.533193572,2.015147155,1.474221188,-2.614222897,2,0.591826076,1.290370461,-1.84756093,-1.27465012,1.890570783,3,-0.063013431,0.140831357,1.185470297,0.155095172,-0.052322825,-0.264419373,-1.450352555,-1.702601281,0.07774043,0.303992996,0,0,0,0,0,1
Happy,0.0,0.0,0.226020776,-0.216843632,1.533078338,2.016351115,1.474903465,-2.555998021,2,0.592881866,1.287826023,-1.845168455,-1.271532377,1.834358192,3,-0.06318707,0.141176703,1.184440871,0.151764616,-0.05001273,-0.264791997,-1.451246675,-1.701101414,0.079541568,0.305164936,0,0,0,0,0,1
Happy,0.0,0.0,0.22611543,-0.21601107,1.529700644,2.015063822,1.471469497,-2.85641338,2,0.595335168,1.284664528,-1.845838902,-1.305552409,2.344355874,3,-0.06312912,0.141064682,1.184168431,0.152050206,-0.048763096,-0.26507408,-1.451991859,-1.698068085,0.080409801,0.305650985,0,0,0,0,0,1
Happy,0.0,0.0,0.226681551,-0.216323531,1.528269044,2.018152908,1.470809685,-2.605840671,2,0.595303532,1.283170814,-1.840841563,-1.293515807,1.835345524,2,-0.06283174,0.141623341,1.18410731,0.149445991,-0.0481961,-0.264703595,-1.451802233,-1.696164876,0.080619994,0.305814502,0,0,0,0,0,1
Happy,0.0,0.0,0.227405288,-0.218443082,1.530967284,2.017446854,1.473271411,-2.744185153,2,0.593991107,1.282485327,-1.833585882,-1.283547902,1.976716315,2,-0.06229691,0.141852703,1.184682425,0.14766016,-0.046697333,-0.264265684,-1.451087856,-1.691953324,0.081595288,0.305444133,0,0,0,0,0,1
Happy,0.0,0.0,0.227405288,-0.218443082,1.530967284,2.017446854,1.473271411,-2.744185153,2,0.593991107,1.282485327,-1.833585882,-1.283547902,1.976716315,2,-0.06229691,0.141852703,1.184682425,0.14766016,-0.046697333,-0.264265684,-1.451087856,-1.691953324,0.081595288,0.305444133,0,0,0,0,0,1
Happy,0.0,0.0,-0.0975770538296,-0.866151000634,0.163298232509,1.34961260678,0.538830511568,-0.314533840164,3,0.870723224805,0.100730305923,-1.1592301827,-1.53361530471,0.989754176598,3,0.155155493021,0.220415565709,1.2928101774,-0.242859522702,-0.0567110392878,-0.157272284068,-1.25508821013,-1.33361171608,-0.0445893586321,0.283455029665,0,0,0,0,0,1
Happy,0.0,0.0,-0.0931347548914,-0.863334784272,0.167611578797,1.36049473526,0.536378838695,-0.368195543231,3,0.862301429079,0.0960704404516,-1.15406636518,-1.53074937233,0.783062674093,3,0.155550752605,0.221373305166,1.29536458828,-0.242480230086,-0.0573556537531,-0.15882746123,-1.25428666406,-1.32486264283,-0.0458162178492,0.285220458369,0,0,0,0,0,1
Happy,0.0,0.0,0.0107026933398,-0.867583616148,0.200480539063,1.37550523946,0.559594427067,-0.351303854277,3,0.8646605444,0.125169895904,-1.16112422221,-1.53751166378,0.861490001303,3,0.15675640002,0.231399401411,1.29347140078,-0.270407177215,-0.0522328148031,-0.161633384218,-1.24660355455,-1.32870433309,-0.0401785633044,0.285204219177,0,0,0,0,0,1
Happy,0.0,0.0,-0.0195625936738,-0.855577339893,0.182023789669,1.35627033223,0.545962241651,-0.330019308916,3,0.90343023093,0.118008360944,-1.15875126424,-1.55006416262,0.985405825093,2,0.157420618796,0.230543396338,1.29290721726,-0.264908935846,-0.0421748213926,-0.162815646094,-1.24608332308,-1.32918161165,-0.0270612492882,0.285616407389,0,0,0,0,0,1
Happy,0.0,0.0,-0.0123960019231,-0.859179160698,0.17296328673,1.3436658658,0.535702128825,-0.325011897859,2,0.906191342108,0.116984290213,-1.16060015938,-1.55210424945,0.886099519112,2,0.157384259193,0.231245405986,1.29120070185,-0.263855280882,-0.0402973917188,-0.164344531459,-1.24561779173,-1.33088417884,-0.0239097298773,0.285379732967,0,0,0,0,0,1
Happy,0.0,0.0,-0.0110682229087,-0.859527824583,0.171680830256,1.33929481559,0.534110559942,-0.338350348146,3,0.907668849747,0.117599232579,-1.16092707195,-1.55263888293,0.892724324607,2,0.157286436278,0.231342133175,1.29124251244,-0.264234841244,-0.0403671463868,-0.164045243687,-1.24522847729,-1.33151471332,-0.0238786550777,0.284517767665,0,0,0,0,0,1
Happy,0.0,0.0,-0.00881816376656,-0.86150926839,0.168283018124,1.33405937115,0.532606001277,-0.330368007236,2,0.908015237509,0.119247118208,-1.16186782516,-1.55438605464,0.966290554412,3,0.157224198642,0.231473147175,1.29097446947,-0.261685879592,-0.0411892588687,-0.165019841736,-1.24554539103,-1.332238689,-0.0245470762283,0.284867144451,0,0,0,0,0,1
Happy,0.0,0.0,-0.00849899514661,-0.85191991676,0.202358237935,1.40609103848,0.583998554623,-0.338946852372,2,0.908210552933,0.118825249099,-1.16107777502,-1.55413296305,0.974284038982,3,0.157288687522,0.231296651861,1.29097749818,-0.260851573637,-0.0413924580135,-0.165064794071,-1.24551899512,-1.33231563157,-0.0246146046627,0.284625692063,0,0,0,0,0,1
Happy,0.0,0.0,-0.00558743598075,-0.851153470108,0.187411322823,1.39275477608,0.562259867072,-0.343225280725,2,0.908855012981,0.119077374256,-1.16070043841,-1.55437002688,0.69839065428,3,0.157360029598,0.231091428959,1.29102643197,-0.259955545296,-0.0413717140002,-0.165224630628,-1.24546918661,-1.33218081802,-0.0243709413974,0.284551595698,0,0,0,0,0,1
Happy,0.0,0.0,-0.0862573589297,-0.833642800033,0.174253941752,1.40269311331,0.552377665267,-0.337217542792,2,0.924911763393,0.0898721593305,-1.14310430696,-1.55382012128,0.934303689644,3,0.158409991272,0.226104255183,1.29229655059,-0.242099040773,-0.0419732944226,-0.165574360702,-1.2479653759,-1.33002220323,-0.0250563762818,0.284889517479,0,0,0,0,0,1
Happy,0.0,0.0,-0.0862573589297,-0.833642800033,0.174253941752,1.40269311331,0.552377665267,-0.337217542792,2,0.924911763393,0.0898721593305,-1.14310430696,-1.55382012128,0.934303689644,3,0.158409991272,0.226104255183,1.29229655059,-0.242099040773,-0.0419732944226,-0.165574360702,-1.2479653759,-1.33002220323,-0.0250563762818,0.284889517479,0,0,0,0,0,1
